ts,tick_index,ticker,price,volume,asset_type,sector
2026-03-14T09:30:00Z,0,A001,234.69,658.0,STOCK,TECH
2026-03-14T09:30:00Z,0,A002,171.32,535.0,STOCK,TECH
2026-03-14T09:30:00Z,0,A003,142.85,502.0,STOCK,TECH
2026-03-14T09:30:00Z,0,A004,189.54,623.0,STOCK,TECH
2026-03-14T09:30:00Z,0,A005,128.73,445.0,STOCK,TECH
2026-03-14T09:30:00Z,0,A006,163.41,614.0,STOCK,TECH
2026-03-14T09:30:00Z,0,A007,201.18,587.0,STOCK,TECH
2026-03-14T09:30:00Z,0,A008,115.92,308.0,STOCK,TECH
2026-03-14T09:30:00Z,0,A009,177.65,603.0,STOCK,TECH
2026-03-14T09:30:00Z,0,A010,148.3,405.0,STOCK,TECH
2026-03-14T09:30:00Z,0,B001,118.42,496.0,STOCK,FINANCE
2026-03-14T09:30:00Z,0,B002,98.76,344.0,STOCK,FINANCE
2026-03-14T09:30:00Z,0,B003,114.8,422.0,STOCK,FINANCE
2026-03-14T09:30:00Z,0,B004,127.35,435.0,STOCK,FINANCE
2026-03-14T09:30:00Z,0,B005,104.21,410.0,STOCK,FINANCE
2026-03-14T09:30:00Z,0,B006,92.68,277.0,STOCK,FINANCE
2026-03-14T09:30:00Z,0,B007,131.54,422.0,STOCK,FINANCE
2026-03-14T09:30:00Z,0,B008,109.83,389.0,STOCK,FINANCE
2026-03-14T09:30:00Z,0,B009,88.47,319.0,STOCK,FINANCE
2026-03-14T09:30:00Z,0,B010,121.9,474.0,STOCK,FINANCE
2026-03-14T09:30:00Z,0,C001,142.17,388.0,STOCK,HEALTHCARE
2026-03-14T09:30:00Z,0,C002,158.63,390.0,STOCK,HEALTHCARE
2026-03-14T09:30:00Z,0,C003,121.48,332.0,STOCK,HEALTHCARE
2026-03-14T09:30:00Z,0,C004,139.72,488.0,STOCK,HEALTHCARE
2026-03-14T09:30:00Z,0,C005,167.35,445.0,STOCK,HEALTHCARE
2026-03-14T09:30:00Z,0,C006,112.84,334.0,STOCK,HEALTHCARE
2026-03-14T09:30:00Z,0,C007,145.91,379.0,STOCK,HEALTHCARE
2026-03-14T09:30:00Z,0,C008,128.56,320.0,STOCK,HEALTHCARE
2026-03-14T09:30:00Z,0,C009,154.23,380.0,STOCK,HEALTHCARE
2026-03-14T09:30:00Z,0,C010,133.67,257.0,STOCK,HEALTHCARE
2026-03-14T09:30:00Z,0,D001,102.45,456.0,STOCK,ENERGY
2026-03-14T09:30:00Z,0,D002,87.84,684.0,STOCK,ENERGY
2026-03-14T09:30:00Z,0,D003,94.18,489.0,STOCK,ENERGY
2026-03-14T09:30:00Z,0,D004,111.63,440.0,STOCK,ENERGY
2026-03-14T09:30:00Z,0,D005,89.27,314.0,STOCK,ENERGY
2026-03-14T09:30:00Z,0,D006,97.52,371.0,STOCK,ENERGY
2026-03-14T09:30:00Z,0,D007,105.39,495.0,STOCK,ENERGY
2026-03-14T09:30:00Z,0,D008,83.74,308.0,STOCK,ENERGY
2026-03-14T09:30:00Z,0,D009,98.61,373.0,STOCK,ENERGY
2026-03-14T09:30:00Z,0,D010,93.85,386.0,STOCK,ENERGY
2026-03-14T09:30:00Z,0,E001,91.34,354.0,STOCK,CONSUMER
2026-03-14T09:30:00Z,0,E002,84.72,299.0,STOCK,CONSUMER
2026-03-14T09:30:00Z,0,E003,96.18,425.0,STOCK,CONSUMER
2026-03-14T09:30:00Z,0,E004,78.53,231.0,STOCK,CONSUMER
2026-03-14T09:30:00Z,0,E005,88.91,336.0,STOCK,CONSUMER
2026-03-14T09:30:00Z,0,E006,82.47,283.0,STOCK,CONSUMER
2026-03-14T09:30:00Z,0,E007,93.62,368.0,STOCK,CONSUMER
2026-03-14T09:30:00Z,0,E008,75.38,250.0,STOCK,CONSUMER
2026-03-14T09:30:00Z,0,E009,86.25,269.0,STOCK,CONSUMER
2026-03-14T09:30:00Z,0,E010,79.84,310.0,STOCK,CONSUMER
2026-03-14T09:31:00Z,1,A001,234.69,717.0,STOCK,TECH
2026-03-14T09:31:00Z,1,A002,171.23,517.0,STOCK,TECH
2026-03-14T09:31:00Z,1,A003,142.84,536.0,STOCK,TECH
2026-03-14T09:31:00Z,1,A004,189.6,621.0,STOCK,TECH
2026-03-14T09:31:00Z,1,A005,128.59,453.0,STOCK,TECH
2026-03-14T09:31:00Z,1,A006,163.4,493.0,STOCK,TECH
2026-03-14T09:31:00Z,1,A007,201.12,651.0,STOCK,TECH
2026-03-14T09:31:00Z,1,A008,115.95,432.0,STOCK,TECH
2026-03-14T09:31:00Z,1,A009,177.54,536.0,STOCK,TECH
2026-03-14T09:31:00Z,1,A010,148.38,452.0,STOCK,TECH
2026-03-14T09:31:00Z,1,B001,118.44,420.0,STOCK,FINANCE
2026-03-14T09:31:00Z,1,B002,98.82,438.0,STOCK,FINANCE
2026-03-14T09:31:00Z,1,B003,114.84,589.0,STOCK,FINANCE
2026-03-14T09:31:00Z,1,B004,126.99,415.0,STOCK,FINANCE
2026-03-14T09:31:00Z,1,B005,104.09,373.0,STOCK,FINANCE
2026-03-14T09:31:00Z,1,B006,92.72,402.0,STOCK,FINANCE
2026-03-14T09:31:00Z,1,B007,131.62,492.0,STOCK,FINANCE
2026-03-14T09:31:00Z,1,B008,109.8,390.0,STOCK,FINANCE
2026-03-14T09:31:00Z,1,B009,88.46,327.0,STOCK,FINANCE
2026-03-14T09:31:00Z,1,B010,121.95,478.0,STOCK,FINANCE
2026-03-14T09:31:00Z,1,C001,142.27,383.0,STOCK,HEALTHCARE
2026-03-14T09:31:00Z,1,C002,158.54,470.0,STOCK,HEALTHCARE
2026-03-14T09:31:00Z,1,C003,121.43,358.0,STOCK,HEALTHCARE
2026-03-14T09:31:00Z,1,C004,139.69,430.0,STOCK,HEALTHCARE
